time,open,high,low,close,Bullish Entry,Bearish Entry,CVD
1770928860,6870,6871.75,6867.75,6868,0,0,-237320
1770928920,6868,6868.25,6863.75,6865.75,0,0,-239859
1770928980,6865.75,6866,6862.5,6862.75,0,0,-242864
1770929040,6862.75,6865.5,6862.25,6864.75,0,0,-238822
1770929100,6865,6865.75,6860.75,6861.25,0,0,-243309
1770929160,6861,6861.75,6857.25,6858.5,0,0,-248893
1770929220,6858.5,6858.5,6856.25,6857,0,0,-254342
1770929280,6857.25,6858.25,6854,6855,0,0,-258861
1770929340,6855,6857.5,6854.5,6856.75,0,0,-254728
1770929400,6856.75,6856.75,6846.75,6847,0,0,-269619
1770929460,6847,6847.5,6842,6843,0,0,-277827
1770929520,6843,6848.25,6842,6846.5,0,0,-268369
1770929580,6846.5,6850.75,6845.75,6850,0,0,-259432
1770929640,6849.75,6855.75,6849.75,6855.5,0,0,-248910
1770929700,6855.5,6856.5,6852,6854,0,0,-259778
1770929760,6854,6854.75,6847.5,6849.5,0,0,-266812
1770929820,6849.5,6853,6849.25,6851.25,0,0,-259165
1770929880,6851.25,6853.25,6850.25,6850.75,0,0,-266745
1770930000,6850.75,6852,6848,6848.5,0,0,-283400
1770930060,6848.75,6850.25,6846.75,6849.75,0,0,-277799
1770930120,6849.75,6851.75,6848.75,6850.25,0,0,-274434
1770930180,6850.25,6851,6849.25,6850,0,0,-277081
1770930240,6850,6851.5,6849.5,6850.75,0,0,-275011
1770930300,6851,6851.75,6849,6850.75,0,0,-277322
1770930360,6850.75,6851.75,6849.75,6850.75,0,0,-279543
1770930420,6850.5,6853.75,6850.5,6851.75,0,0,-277731
1770930480,6851.75,6855.75,6850.75,6855.25,0,0,-275926
1770930540,6855.25,6855.75,6854,6854.75,0,0,-277299
1770930600,6854.5,6855.5,6853.5,6854.25,0,0,-278693
1770930660,6854.25,6854.75,6853.75,6854.5,0,0,-277730
1770930720,6854.5,6855.75,6854.5,6855,0,0,-276906
1770930780,6855,6857,6854,6856,0,0,-275745
1770930840,6856,6856.25,6854.75,6856,0,0,-274533
1770930900,6856,6856.5,6855.25,6856,0,0,-273732
1770930960,6856,6856.5,6854,6855.75,0,0,-274577
1770931020,6855.75,6856,6855,6855.75,0,0,-275217
1770931080,6856,6857.5,6856,6856.25,0,0,-274691
1770931140,6856.5,6857.5,6855.25,6857,0,0,-273886
1770931200,6856.75,6857.5,6856.5,6856.75,0,0,-274478
1770931260,6856.75,6857.5,6856.5,6857.25,0,0,-273905
1770931320,6857.25,6857.5,6856.25,6857.25,0,0,-273396
1770931380,6857.25,6858.5,6857.25,6857.5,0,0,-272983
1770931440,6857.5,6858.25,6857,6857.75,0,0,-272690
1770931500,6858,6858,6856.5,6857.25,0,0,-273004
1770931560,6857,6857.75,6857,6857.25,0,0,-272691
1770931620,6857,6858,6857,6857.75,0,0,-272414
1770931680,6858,6858.25,6857.5,6858,0,0,-272198
1770931740,6858,6859.75,6857.75,6859.5,0,0,-271777
1770931800,6859.5,6861.75,6859,6861.25,0,0,-271084
1770931860,6861,6861.75,6860.75,6861,0,0,-271677
1770931920,6860.75,6861.25,6860,6860.75,0,0,-271964
1770931980,6861,6862.25,6861,6862,0,0,-271723
1770932040,6862.25,6863,6862,6862.25,0,0,-271131
1770932100,6862.25,6862.75,6862,6862.5,0,0,-270872
1770932160,6862.75,6863.5,6862.5,6863.5,0,0,-270531
1770932220,6863.5,6863.75,6862.25,6862.5,0,0,-270873
1770932280,6862.75,6863.75,6862.5,6863.25,0,0,-270592
1770932340,6863.5,6864,6862,6862,0,0,-271067
1770932400,6862,6862.25,6860.75,6861.5,0,0,-271809
1770932460,6861.5,6862.25,6861.25,6862.25,0,0,-271538
1770932520,6862.25,6862.5,6861.5,6862.25,0,0,-271185
1770932580,6862.25,6862.5,6861.75,6862.25,0,0,-270847
1770932640,6862.25,6863,6861.5,6861.75,0,0,-271475
1770932700,6862,6862.5,6860.25,6861,0,0,-272081
1770932760,6861,6861.5,6860.5,6860.75,0,0,-272843
1770932820,6861,6862.5,6860.75,6862.5,0,0,-272460
1770932880,6862.25,6863,6862,6862.25,0,0,-272835
1770932940,6862,6863.25,6862,6863.25,0,0,-272627
1770933000,6863.25,6865,6863.25,6864.5,0,0,-272130
1770933060,6864.75,6865,6863.75,6863.75,0,0,-272598
1770933120,6863.75,6864.5,6863.75,6864.25,0,0,-272415
1770933180,6864.25,6865,6864.25,6864.75,0,0,-272138
1770933240,6864.5,6864.5,6863,6863.5,0,0,-272585
1770933300,6863.5,6863.5,6862,6862.5,0,0,-273202
1770933360,6862.75,6862.75,6860.75,6860.75,0,0,-273561
1770933420,6861,6863,6860.75,6863,0,0,-273110
1770933480,6862.75,6863,6861.25,6861.25,0,0,-273412
1770933540,6861.5,6862,6861,6861.75,0,0,-273074
1770937200,6865.5,6865.5,6858.5,6859,1,0,-999
1770937260,6859,6860.75,6858.25,6858.5,0,0,-1319
1770937320,6858.75,6858.75,6856.5,6858.5,0,0,-1613
1770937380,6858.5,6860.25,6858.25,6859.5,0,0,-1203
1770937440,6859.75,6859.75,6858.25,6858.5,0,0,-1287
1770937500,6858.25,6860.75,6855,6860.5,0,0,-561
1770937560,6860.25,6864,6860,6862.25,0,0,-43
1770937620,6862.5,6864,6862.25,6862.25,0,0,-282
1770937680,6862.25,6863,6860.25,6862.25,0,0,-517
1770937740,6862.25,6864,6862.25,6863.5,0,0,-379
1770937800,6863.75,6865.5,6863.75,6865,0,0,-17
1770937860,6865,6865,6863,6864.5,0,0,-254
1770937920,6864.5,6865,6863.25,6864.25,0,0,-365
1770937980,6864.25,6864.5,6863.25,6864,0,0,-462
1770938040,6864.25,6864.25,6862.25,6862.5,0,0,-549
1770938100,6862.5,6864,6861.75,6864,0,0,-351
1770938160,6863.75,6863.75,6862,6862.25,0,0,-515
1770938220,6862.25,6865,6862.25,6864.75,0,0,-378
1770938280,6864.75,6865,6863.75,6864.75,0,0,-257
1770938340,6865,6867,6862.5,6862.5,0,0,-793
1770938400,6862.5,6863.5,6861,6861.5,0,0,-1067
1770938460,6861.5,6861.75,6860.25,6861.25,0,0,-1363
1770938520,6861.25,6862.5,6861,6861.75,0,0,-1197
1770938580,6861.75,6861.75,6860.75,6861.75,0,0,-1077
1770938640,6861.75,6862.25,6861,6861.75,0,0,-1002
1770938700,6861.75,6863.5,6861.5,6862.5,0,0,-840
1770938760,6862.5,6864.25,6862.5,6863,0,0,-606
1770938820,6863.5,6864,6863.25,6863.75,0,0,-533
1770938880,6863.75,6863.75,6862.25,6862.5,0,0,-656
1770938940,6862.5,6864.25,6862.5,6864,0,0,-573
1770939000,6864.25,6864.5,6863.25,6863.25,0,0,-682
1770939060,6863.25,6863.75,6863.25,6863.75,0,0,-609
1770939120,6863.75,6865.75,6860.25,6863.25,0,0,-1524
1770939180,6863,6863.25,6852.25,6852.5,0,0,-3597
1770939240,6852.5,6857,6852.25,6856.75,0,0,-3033
1770939300,6856.75,6858.75,6855.25,6858.25,0,0,-2734
1770939360,6858,6859,6856.75,6858,0,0,-2967
1770939420,6858,6858,6855.5,6856.5,0,0,-3231
1770939480,6856.5,6857.5,6850.75,6851.5,0,0,-4409
